season,market_spread,actual_margin,away_covers,spot_score,away_revenge,home_lookahead,home_letdown,away_dog_value,home_fatigue,away_sharp_money,away_rlm,away_public_faded,away_slow_pace,home_travel_fatigue
2018,7.3,-5.82,1,9,0,0,0,0,1,0,1,0,0,0
2018,-3.7,-17.51,1,4,0,0,0,0,1,0,0,0,0,0
2018,7.0,19.93,0,4,0,0,1,0,0,0,0,0,0,0
2018,2.4,13.1,0,0,0,0,0,0,0,0,0,0,0,0
2018,0.8,-10.41,1,5,1,0,0,0,0,0,0,0,0,0
2018,3.0,12.83,0,4,0,0,0,0,0,1,0,0,0,0
2018,-7.8,-12.5,1,14,1,0,0,0,0,1,1,0,0,0
2018,5.0,-10.65,1,4,0,0,0,1,0,0,0,0,0,0
2018,11.6,7.83,1,9,0,0,0,0,0,0,1,1,0,0
2018,-2.3,-6.6,1,14,1,0,0,0,0,0,1,0,1,0
2018,4.3,-5.24,1,8,0,0,1,0,0,0,0,0,1,0
2018,8.1,-2.38,1,7,0,0,0,1,0,0,0,0,0,1
2018,9.7,1.81,1,4,0,0,0,0,0,0,0,0,1,0
2018,5.2,7.95,0,5,1,0,0,0,0,0,0,0,0,0
2018,-0.5,2.82,0,4,0,0,1,0,0,0,0,0,0,0
2018,14.5,16.09,0,5,0,1,0,0,0,0,0,0,0,0
2018,-3.8,1.45,0,0,0,0,0,0,0,0,0,0,0,0
2018,6.2,17.8,0,4,0,0,0,0,0,0,0,0,1,0
2018,-2.0,2.47,0,5,0,0,0,0,0,0,1,0,0,0
2018,-3.7,-0.21,0,5,0,1,0,0,0,0,0,0,0,0
2018,0.5,3.1,0,5,0,0,0,0,0,0,1,0,0,0
2018,9.7,10.9,0,4,0,0,0,0,0,0,0,0,1,0
2018,7.0,-8.01,1,5,1,0,0,0,0,0,0,0,0,0
2018,6.1,-7.42,1,5,0,0,0,0,0,0,1,0,0,0
2018,3.9,-4.93,1,0,0,0,0,0,0,0,0,0,0,0
2018,9.0,18.49,0,5,0,0,0,0,0,0,1,0,0,0
2018,6.0,-3.29,1,13,0,0,1,0,0,0,1,1,0,0
