combo,n_factors,n_games,ats_rate,p_value,ci_low,ci_high,kelly_pct,roi_per_bet
"('away_revenge', 'away_sharp_money')",2,338,0.772189349112426,1.53807874193216E-24,0.723712417621486,0.8158250442126070,52.15976331360950,52.15976331360950
"('home_lookahead', 'home_letdown')",2,403,0.7692307692307690,2.28710349407525E-28,0.7249578924999560,0.8094989241611150,51.53846153846160,51.538461538461600
"('away_rlm', 'home_travel_fatigue')",2,203,0.7684729064039410,7.43422663683704E-15,0.7042813371789730,0.82464691607866,51.37931034482760,51.37931034482760
"('away_revenge', 'home_letdown')",2,334,0.7664670658682640,2.9065737859984E-23,0.7173417756856130,0.8107969092555130,50.95808383233530,50.95808383233530
"('home_letdown', 'away_slow_pace')",2,420,0.7619047619047620,6.39271928706074E-28,0.7182155561656680,0.8018596486304210,50.00000000000000,50.00000000000000
"('home_lookahead', 'home_fatigue')",2,336,0.7619047619047620,1.30856493156793E-22,0.7126771243431280,0.8064488015197750,50.00000000000000,50.00000000000000
"('away_rlm', 'away_public_faded')",2,447,0.7583892617449670,7.75142452969189E-29,0.7159528680339400,0.7973676981282310,49.26174496644300,49.26174496644300
"('home_lookahead', 'away_rlm')",2,321,0.7570093457943930,7.13404369275182E-21,0.7062837597637670,0.8029220164038380,48.971962616822400,48.971962616822400
"('away_dog_value', 'home_fatigue')",2,417,0.7553956834532370,2.23038666191774E-26,0.7112113292502160,0.7959131567159990,48.633093525179800,48.63309352517990
"('away_revenge', 'home_lookahead')",2,372,0.75,1.0468797146093E-22,0.7027666669439970,0.7932040802266820,47.5,47.5
"('home_fatigue', 'away_sharp_money')",2,287,0.7491289198606270,1.05655614603211E-17,0.6948109729045700,0.798221897793521,47.317073170731700,47.3170731707317
"('away_revenge', 'home_travel_fatigue')",2,229,0.74235807860262,1.17915831427393E-13,0.68061308534107,0.7977116323853070,45.8951965065502,45.89519650655020
"('home_letdown', 'away_rlm')",2,279,0.7419354838709680,2.64414488056197E-16,0.6863934309321440,0.7922576352474730,45.80645161290320,45.80645161290320
"('home_lookahead', 'away_public_faded')",2,581,0.7383820998278830,1.5431585254868E-31,0.7006282232865770,0.7736921959153100,45.06024096385540,45.06024096385540
"('away_revenge', 'home_fatigue')",2,255,0.7372549019607840,1.81336729265611E-14,0.678708666918396,0.7901937578507720,44.82352941176470,44.82352941176470
"('home_lookahead', 'away_sharp_money')",2,430,0.7372093023255810,1.75904490344373E-23,0.6929017508385990,0.7782182255644390,44.813953488372100,44.81395348837210
"('away_revenge', 'away_dog_value')",2,439,0.7357630979498860,1.16723669539734E-23,0.6918767428881060,0.7764392617409250,44.51025056947610,44.51025056947610
"('away_revenge', 'away_public_faded')",2,487,0.7330595482546200,1.64590896612001E-25,0.6914057751498400,0.7718570296142410,43.942505133470200,43.94250513347020
"('away_revenge', 'away_rlm')",2,266,0.7293233082706770,4.18553744907691E-14,0.6716826900852140,0.7817737611241350,43.15789473684210,43.15789473684210
